lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,1674,1674-r,4,,3/4,Puhja,,,,,,,,,1674. Puhja,,,1365,,,,
230,1675,1675-r,4,,3/4,,,,,,,,,,1675. ,,,1365,,,,
,1676,1676-r,4,,3/4,Puhja,,,,,,,,,1676. Puhja,,,1365,,,,
,1677,1677-r,4,,3/4,Puhja,,,,,,,,,1677. Puhja,,,1365,,,,
,1678,1678-r,4,,3/4,Tartu,,,,,,,,,1678. Tartu,,,1365,,,,
,1679,1679-r,4,,3/4,,,,,,,,,,1679. ,,,1365,,,,
,1680,1680-r,4,,3/4,Hargla,,,,,,,,,1680. Hargla,,,1365,,,,
,1681,1681-r,4,,3/4,Simititsa,,,,,,,,,1681. Simititsa,,,1365,,,,
231,1682,1682-r,4,,3/4,Kuusalu,,,,,,,,,1682. Kuusalu,,,1365,,,,
,1683,1683-r,4,,3/4,Ambla,,,,,,,,,1683. Ambla,,,1365,,,,
,1684,1684-r,4,,3/4,Audru,,,,,,,,,1684. Audru,,,1365,,,,
,1685,1685-r,4,,3/4,Kodavere,,,,,,,,,1685. Kodavere,,,1365,,,,
,1686,1686-r,2,,3/4,Haljala,,,,,,,,,1686. Haljala,,,1365,,,,
,1687,1687-r,2,,3/4,Haljala,,,,,,,,,1687. Haljala,,,1365,,,,
,1688,1688-r,4,,3/4,Jõhvi,,,,,,,,,1688. Jõhvi,,,1365,,,,
,1689,1689-r,4,,3/4,Kadrina,,,,,,,,,1689. Kadrina,,,1365,,,,
232,1690,1690-r,2,,3/4,Haljala,,,,,,,,,1690. Haljala,,,1365,,,,
,1691,1691-r,4,,3/4,Simititsa,,,,,,,,,1691. Simititsa,,,1365,,,,
,1692,1692-r,4,,3/4,Hargla,,,,,,,,,1692. Hargla,,,1365,,,,
,1693,1693-r,5,,3/4,Puhja,,,,,,,,,1693. Puhja,,,1365,,,,
,1694,1694-r,4,,3/4,Koeru,,,,,,,,,1694. Koeru,,,1365,,,,
,1695,1695-r,4,,3/4,Väike-Maarja,,,,,,,,,1695. Väike-Maarja,,,1365,,,,
,1696,1696-r,4,,3/4,"Setumaa, Meekseküla",,,,,,,,,"1696. Setumaa, Meekseküla",,,1365,,,,
233,1697,1697-r,4,,3/4,Jõhvi,,,,,,,,,1697. Jõhvi,,,1365,,,,
,1698,1698-r,4,,3/4,Vastseliina,,,,,,,,,1698. Vastseliina,,,1365,,,,
,1699,1699-r,4,,3/4,,,,,,,,,,1699. ,,,1365,,,,
,1700,1700-r,8,,3/4,Rakvere,,,,,,,,,1700. Rakvere,,,1365,,,,
,1701,1701-r,4,,3/4,Laiuse ja Simuna,,,,,,,,,1701. Laiuse ja Simuna,,,1365,,,,
,1702,1702-r,4,,3/4,Simititsa,,,,,,,,,1702. Simititsa,,,1365,,,,
,1703,1703-r,4,,3/4,Järva-Madise,,,,,,,,,1703. Järva-Madise,,,1365,,,,
234,1704,1704-r,4,1/4,3/4,Rakvere,,,,,,,,,1704. Rakvere,,,1365,,,,
,1705,1705-r,4,,3/4,Laiuse ja Simuna,,,,,,,,,1705. Laiuse ja Simuna,,,1365,,,,
,1706,1706-r,4,,3/4,Koeru,,,,,,,,,1706. Koeru,,,1365,,,,
,1707,1707-r,4,,3/4,Koeru,,,,,,,,,1707. Koeru,,,1365,,,,
,1708,1708-r,4,,3/4,,,,,,,,,,1708. ,,,1365,,,,
,1709,1709-r,4,,3/4,Ambla,,,,,,,,,1709. Ambla,,,1365,,,,
,1710,1710-r,4,,3/4,Koeru ja Järva-Jaani,,,,,,,,,1710. Koeru ja Järva-Jaani,,,1365,,,,
,1711,1711-r,4,,3/4,,,,,,,,,,1711. ,,,1365,,,,
235,1712,1712-r,4,,3/4,Tarvastu,,,,,,,,,1712. Tarvastu,,,1365,,,,
,1713,1713-r,4,,3/4,Peetri,,,,,,,,,1713. Peetri,,,1365,,,,
,1714,1714-r,4,,3/4,Ambla,,,,,,,,,1714. Ambla,,,1365,,,,
,1715,1715-r,4,,3/4,Simititsa,,,,,,,,,1715. Simititsa,,,1365,,,,
,1716,1716-r,4,,3/4,Järva-Madise,,,,,,,,,1716. Järva-Madise,,,1365,,,,
,1717,1717-r,4,,3/4,Kadrina,,,,,,,,,1717. Kadrina,,,1365,,,,
,1718,1718-r,4,,3/4,Kadrina,,,,,,,,,1718. Kadrina,,,1365,,,,
,1719,1719-r,4,,3/4,Simititsa,,,,,,,,,1719. Simititsa,,,1365,,,,
236,1720,1720-r,4,,3/4,Kadrina,,,,,,,,,1720. Kadrina,,,1365,,,,
,1721,1721-r,4,,3/4,Kadrina,,,,,,,,,1721. Kadrina,,,1365,,,,
,1722,1722-r,4,,3/4,Kadrina,,,,,,,,,1722. Kadrina,,,1365,,,,
,1723,1723-r,4,,3/4,Kuusalu,,,,,,,,,1723. Kuusalu,,,1365,,,,
,1724,1724-r,4,,3/4,Koeru,,,,,,,,,1724. Koeru,,,1365,,,,
,1725,1725-r,4,,3/4,Ambla,,,,,,,,,1725. Ambla,,,1365,,,,
,1726,1726-r,4,,3/4,Kuusalu,,,,,,,,,1726. Kuusalu,,,1365,,,,
,1727,1727-r,4,,3/4,Saaremaa,1889,,,,,,,,"1727. Saaremaa, 1889",,,1365,,,,
237,1728,1728-r,4,,3/4,Ambla,,,,,,,,,1728. Ambla,,,1365,,,,
,1729,1729-r,4,,3/4,Puhja,,,,,,,,,1729. Puhja,,,1365,,,,
,1730,1730-r,4,,3/4,,,,,,,,,,1730. ,,,1365,,,,
,1731,1731-r,4,,3/4,,,,,,,,,,1731. ,,,1365,,,,
,1732,1732-r,8,,3/4,Kadrina,1877,,,,,,,,"1732. Kadrina, 1877",,,1365,,,,
,1733,1733-r,4,,3/4,Tarvastu,,,,,,,,,1733. Tarvastu,,,1365,,,,
,1734,1734-r,4,,3/4,,,,,,,,,,1734. ,,,1365,,,,
238,1735,1735-r,4,,3/4,Ridala,,,,,,,,,1735. Ridala,,,1365,,,,
,1736,1736-r,3,,3/4 3/4 5/4,Jamaja-Anseküla,,,,,,,,,1736. Jamaja-Anseküla,,,1365,,,,
,1737,1737-r,4,,3/4,Puhja,,,,,,,,,1737. Puhja,,,1365,,,,
,1738,1738-r,4,,3/4,Hageri,,,,,,,,,1738. Hageri,,,1365,,,,
,1739,1739-r,2,,3/4,Harju-Jaani,,,,,,,,,1739. Harju-Jaani,,,1365,,,,
,1740,1740-r,4,,3/4,Urvaste,,,,,,,,,1740. Urvaste,,,1365,,,,
,1741,1741-r,4,,3/4,Kodavere,,,,,,,,,1741. Kodavere,,,1365,,,,
239,1742,1742-r,4,,3/4,Puhja,,,,,,,,,1742. Puhja,,,1365,,,,
,1743,1743-r,4,,3/4,Urvaste,,,,,,,,,1743. Urvaste,,,1365,,,,
,1744,1744-r,4,1/4,3/4,Saaremaa,1889,,,,,,,,"1744. Saaremaa, 1889",,,1365,,,,
,1745,1745-r,4,,3/4,,,,,,,,,,1745. ,,,1365,,,,
,1746,1746-r,4,,3/4,Sangaste,,,,,,,,,1746. Sangaste,,,1365,,,,
,1745,1745-e,4,,3/4,Otepää,,,,,,,,,1745. Otepää,,,1365,,,,
240,1746,1746-e,4,,3/4,"Setumaa, Meekseküla",,,,,,,,,"1746. Setumaa, Meekseküla",,,1365,,,,
,1747,1747-r,4,1/4,3/4,Saaremaa,1889,,,,,,,,"1747. Saaremaa, 1889",,,1365,,,,
,1748,1748-r,4,1/4,3/4,Vastseliina,1888,,,,,,,,"1748. Vastseliina, 1888",,,1365,,,,
,1749,1749-r,4,,3/4,Kuusalu,,,,,,,,,1749. Kuusalu,,,1365,,,,
,1750,1750-r,4,,3/4,Otepää,,,,,,,,,1750. Otepää,,,1365,,,,
,1751,1751-r,4,,3/4,Võrumaa,,,,,,,,,1751. Võrumaa,,,1365,,,,
,1752,1752-r,4,,3/4,Ambla,,,,,,,,,1752. Ambla,,,1365,,,,
,1753,1753-r,4,,3/4,Otepää,,,,,,,,,1753. Otepää,,,1365,,,,
241,1754,1754-r,3,,3/4 3/4 5/4,Räpina,,,,,,,,,1754. Räpina,,,1365,,,,
,1755,1755-r,6,,2/4,Kanepi,,,,,,,,,1755. Kanepi,,,1365,,,,
,1756,1756-r,6,,2/4,Türi,,,,,,,,,1756. Türi,,,1365,,,,
,1757,1757-r,6,,2/4,Sangaste,,,,,,,,,1757. Sangaste,,,1365,,,,
,1758,1758-r,6,,2/4,Pilistvere,,,,,,,,,1758. Pilistvere,,,1365,,,,
242,1759,1759-r,6,,2/4,Saaremaa,1889,,,,,,,,"1759. Saaremaa, 1889",,,1365,,,,
,1760,1760-r,6,,2/4,Saarde,,,,,,,,,1760. Saarde,,,1365,,,,
,1761,1761-r,5,,2/4 2/4 2/4 2/4 3/4,Sangaste,,,,,,,,,1761. Sangaste,,,1365,,,,
,1762,1762-r,6,,2/4,Helme,,,,,,,,,1762. Helme,,,1365,,,,
,1763,1763-r,6,,2/4,Saaremaa,,,,,,,,,1763. Saaremaa,,,1365,,,,
243,1764,1764-r,6,,2/4,Türi,,,,,,,,,1764. Türi,,,1365,,,,
,1765,1765-r,4,,2/4,Tartu,,,,,,,,,1765. Tartu,,,1365,,,,
,1766,1766-r,6,,2/4,Paistu,,,,,,,,,1766. Paistu,,,1365,,,,
,1767,1767-r,6,,2/4,Paistu,,,,,,,,,1767. Paistu,,,1365,,,,
,1768,1768-r,6,,2/4,Karula,,,,,,,,,1768. Karula,,,1365,,,,
244,1769,1769-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1769. Pärnu ja Tori,,,1365,,,,
,1770,1770-r,6,,2/4,Helme,,,,,,,,,1770. Helme,,,1365,,,,
,1771,1771-r,6,,2/4,Võru,,,,,,,,,1771. Võru,,,1365,,,,
,1772,1772-r,6,,2/4,Puugnitsa,1877,,,,,,,,"1772. Puugnitsa, 1877",,,1365,,,,
,1773,1773-r,6,,2/4,Otepää,,,,,,,,,1773. Otepää,,,1365,,,,
,1774,1774-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1774. Pärnu ja Tori,,,1365,,,,
245,1775,1775-r,6,,2/4 3/8 2/4 2/4 2/4 2/4,Krantsova,1877,,,,,,,,"1775. Krantsova, 1877",,,1365,,,,
,1776,1776-r,6,,2/4,"Setumaa, Meekseküla",1877,,,,,,,,"1776. Setumaa, Meekseküla, 1877",,,1365,,,,
,1777,1777-r,6,,2/4,"Setumaa, Raakvaküla",1877,,,,,,,,"1777. Setumaa, Raakvaküla, 1877",,,1365,,,,
,1778,1778-r,6,,2/4,"Setumaa, Meekseküla",1877,,,,,,,,"1778. Setumaa, Meekseküla, 1877",,,1365,,,,
246,1779,1779-r,6,,2/4,Räpina,,,,,,,,,1779. Räpina,,,1365,,,,
,1780,1780-r,6,,2/4,Halliste,,,,,,,,,1780. Halliste,,,1365,,,,
,1781,1781-r,6,,2/4,Vastseliina,1877,,,,,,,,"1781. Vastseliina, 1877",,,1365,,,,
,1782,1782-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1782. Pärnu ja Tori,,,1365,,,,
247,1783,1783-r,6,,2/4,Halliste,,,,,,,,,1783. Halliste,,,1365,,,,
,1784,1784-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1784. Pärnu ja Tori,,,1365,,,,
,1785,1785-r,6,,2/4,Paistu,1877,,,,,,,,"1785. Paistu, 1877",,,1365,,,,
,1786,1786-r,6,,2/4,Kambja,,,,,,,,,1786. Kambja,,,1365,,,,
248,1787,1787-r,6,,2/4,"Vastseliina, Mauriküla",1877,,,,,,,,"1787. Vastseliina, Mauriküla, 1877",,,1365,,,,
,1788,1788-r,6,,2/4 3/8 6/8 2/4 3/8 6/8,Setumaa,,,,,,,,,1788. Setumaa,,,1365,,,,
,1789,1789-r,6,,2/4,Vändra,,,,,,,,,1789. Vändra,,,1365,,,,
,1790,1790-r,6,,2/4,Rõngu,,,,,,,,,1790. Rõngu,,,1365,,,,
249,1791,1791-r,6,,2/4,Tartu ja Paistu,1877,,,,,,,,"1791. Tartu ja Paistu, 1877",,,1365,,,,
,1792,1792-r,6,,2/4,Tartu ja Paistu,1877,,,,,,,,"1792. Tartu ja Paistu, 1877",,,1365,,,,
,1793,1793-r,3,,2/4,Tarvastu,,,,,,,,,1793. Tarvastu,,,1365,,,,
,1794,1794-r,3,,2/4,Kolga-Jaani,,,,,,,,,1794. Kolga-Jaani,,,1365,,,,
,1795,1795-r,6,,2/4,Türi,,,,,,,,,1795. Türi,,,1365,,,,
250,1796,1796-r,3,,2/4,Tarvastu,,,,,,,,,1796. Tarvastu,,,1365,,,,
,1797,1797-r,6,,2/4,Karksi,,,,,,,,,1797. Karksi,,,1365,,,,
,1798,1798-r,6,,2/4,Karksi,,,,,,,,,1798. Karksi,,,1365,,,,
,1799,1799-r,6,,2/4,Tartu-Maarja,,,,,,,,,1799. Tartu-Maarja,,,1365,,,,
,1800,1800-r,6,,2/4,Helme,,,,,,,,,1800. Helme,,,1365,,,,
251,1801,1801-r,6,,2/4,Tarvastu,,,,,,,,,1801. Tarvastu,,,1365,,,,
,1802,1802-r,6,,2/4,Tartu-Maarja,,,,,,,,,1802. Tartu-Maarja,,,1365,,,,
,1803,1803-r,6,,2/4,Suure-Jaani,,,,,,,,,1803. Suure-Jaani,,,1365,,,,
,1804,1804-r,6,,2/4 2/4 5/8 2/4 2/4 5/8,Sangaste,1877,,,,,,,,"1804. Sangaste, 1877",,,1365,,,,
252,1805,1805-r,6,,2/4,Halliste,,,,,,,,,1805. Halliste,,,1365,,,,
,1806,1806-r,6,,2/4,Karula,1877,,,,,,,,"1806. Karula, 1877",,,1365,,,,
,1807,1807-r,3,,2/4,Tarvastu,,,,,,,,,1807. Tarvastu,,,1365,,,,
,1808,1808-r,3,,2/4,Tartu,,,,,,,,,1808. Tartu,,,1365,,,,
,1809,1809-r,6,,2/4,Sangaste,1877,,,,,,,,"1809. Sangaste, 1877",,,1365,,,,
253,1810,1810-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1810. Pärnu ja Tori,,,1365,,,,
,1811,1811-r,6,,2/4,Karula,1877,,,,,,,,"1811. Karula, 1877",,,1365,,,,
,1812,1812-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1812. Pärnu ja Tori,,,1365,,,,
,1813,1813-r,3,,2/4,Tarvastu,,,,,,,,,1813. Tarvastu,,,1365,,,,
,1814,1814-r,6,,2/4,Pärnu ja Häädemeeste,,,,,,,,,1814. Pärnu ja Häädemeeste,,,1365,,,,
,1815,1815-r,3,,2/4,,,,,,,,,,1815. ,,,1365,,,,
,1816,1816-r,3,,2/4,Peetri,,,,,,,,,1816. Peetri,,,1365,,,,
254,1817,1817-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1817. Pärnu ja Tori,,,1365,,,,
,1818,1818-r,6,,2/4,Karksi,,,,,,,,,1818. Karksi,,,1365,,,,
,1819,1819-r,3,,2/4,Tarvastu,,,,,,,,,1819. Tarvastu,,,1365,,,,
,1820,1820-r,3,,2/4,Kanepi,,,,,,,,,1820. Kanepi,,,1365,,,,
,1821,1821-r,3,,2/4,Tarvastu,,,,,,,,,1821. Tarvastu,,,1365,,,,
,1822,1822-r,3,,2/4,Tarvastu,,,,,,,,,1822. Tarvastu,,,1365,,,,
,1823,1823-r,6,,2/4,Karksi,,,,,,,,,1823. Karksi,,,1365,,,,
255,1824,1824-r,6,,2/4,,,,,,,,,,1824. ,,,1365,,,,
,1825,1825-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1825. Pärnu ja Tori,,,1365,,,,
,1826,1826-r,6,,2/4,Vastseliina,1877,,,,,,,,"1826. Vastseliina, 1877",,,1365,,,,
,1827,1827-r,6,,2/4,"Setumaa, Raakvaküla",1877,,,,,,,,"1827. Setumaa, Raakvaküla, 1877",,,1365,,,,
,1828,1828-r,6,,2/4,Krantsova,1877,,,,,,,,"1828. Krantsova, 1877",,,1365,,,,
256,1829,1829-r,6,,2/4,"Setumaa, Meekseküla",1877,,,,,,,,"1829. Setumaa, Meekseküla, 1877",,,1365,,,,
,1830,1830-r,6,,2/4,Torma,,,,,,,,,1830. Torma,,,1365,,,,
,1831,1831-r,6,,2/4,"Setumaa, Meekseküla",1877,,,,,,,,"1831. Setumaa, Meekseküla, 1877",,,1365,,,,
,1832,1832-r,6,1/8,2/4,Audru,,,,,,,,,1832. Audru,,,1365,,,,
,1833,1833-r,3,,2/4 2/4 6/8,Rõngu,,,,,,,,,1833. Rõngu,,,1365,,,,
257,1834,1834-r,3,,2/4,Paistu,,,,,,,,,1834. Paistu,,,1365,,,,
,1835,1835-r,3,,2/4,Juuru,,,,,,,,,1835. Juuru,,,1365,,,,
,1836,1836-r,3,,2/4,Tarvastu,,,,,,,,,1836. Tarvastu,,,1365,,,,
,1837,1837-r,3,,2/4,Tarvastu,,,,,,,,,1837. Tarvastu,,,1365,,,,
,1838,1838-r,6,,2/4,Paistu,,,,,,,,,1838. Paistu,,,1365,,,,
,1839,1839-r,6,,2/4,Paistu,1877,,,,,,,,"1839. Paistu, 1877",,,1365,,,,
,1840,1840-r,3,,3/8 2/4 5/8,Pühaste,,,,,,,,,1840. Pühaste,,,1365,,,,
258,1841,1841-r,6,,2/4,Rõngu,,,,,,,,,1841. Rõngu,,,1365,,,,
,1842,1842-r,6,,2/4,Tartu ja Paistu,1877,,,,,,,,"1842. Tartu ja Paistu, 1877",,,1365,,,,
,1843,1843-r,6,,2/4,Paistu,1877,,,,,,,,"1843. Paistu, 1877",,,1365,,,,
,1844,1844-r,6,,2/4,Tartu ja Paistu,1877,,,,,,,,"1844. Tartu ja Paistu, 1877",,,1365,,,,
,1845,1845-r,6,,2/4,,,,,,,,,,1845. ,,,1365,,,,
259,1846,1846-r,3,,2/4,Järvamaa,,,,,,,,,1846. Järvamaa,,,1365,,,,
,1847,1847-r,3,,2/4,Järvamaa,,,,,,,,,1847. Järvamaa,,,1365,,,,
,1848,1848-r,3,,2/4,Võrumaa,,,,,,,,,1848. Võrumaa,,,1365,,,,
,1849,1849-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1849. Pärnu ja Tori,,,1365,,,,
,1850,1850-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1850. Pärnu ja Tori,,,1365,,,,
260,1851,1851-r,6,,2/4,Puhja,,,,,,,,,1851. Puhja,,,1365,,,,
,1852,1852-r,3,,2/4,Pärnu ja Häädemeeste,,,,,,,,,1852. Pärnu ja Häädemeeste,,,1365,,,,
,1853,1853-r,6,,2/4,Audru,,,,,,,,,1853. Audru,,,1365,,,,
,1854,1854-r,5,,2/4,Rõuge,,,,,,,,,1854. Rõuge,,,1365,,,,
,1855,1855-r,6,,2/4,Pärnu ja Häädemeeste,,,,,,,,,1855. Pärnu ja Häädemeeste,,,1365,,,,
,1856,1856-r,3,,2/4,Järvamaa,,,,,,,,,1856. Järvamaa,,,1365,,,,
,1857,1857-r,3,,2/4,Tarvastu,,,,,,,,,1857. Tarvastu,,,1365,,,,
,1858,1858-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1858. Pärnu ja Tori,,,1365,,,,
261,1859,1859-r,6,,2/4,Pärnu ja Häädemeeste,,,,,,,,,1859. Pärnu ja Häädemeeste,,,1365,,,,
,1860,1860-r,6,,2/4,Audru,,,,,,,,,1860. Audru,,,1365,,,,
,1861,1861-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1861. Pärnu ja Tori,,,1365,,,,
,1862,1862-r,3,,2/4,Kuusalu,,,,,,,,,1862. Kuusalu,,,1365,,,,
,1863,1863-r,6,,2/4,Karula,,,,,,,,,1863. Karula,,,1365,,,,
,1864,1864-r,6,,2/4,Rõngu,,,,,,,,,1864. Rõngu,,,1365,,,,
262,1865,1865-r,6,,2/4,Karksi,,,,,,,,,1865. Karksi,,,1365,,,,
,1866,1866-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1866. Pärnu ja Tori,,,1365,,,,
,1867,1867-r,6,,2/4,Paistu,,,,,,,,,1867. Paistu,,,1365,,,,
,1868,1868-r,6,,2/4,Kambja,,,,,,,,,1868. Kambja,,,1365,,,,
263,1869,1869-r,6,,2/4,Mihkli,,,,,,,,,1869. Mihkli,,,1365,,,,
,1870,1870-r,6,,2/4,Räpina,,,,,,,,,1870. Räpina,,,1365,,,,
,1871,1871-r,6,,2/4,Juuru,,,,,,,,,1871. Juuru,,,1365,,,,
,1872,1872-r,6,1/8,2/4,Pärnu ja Tori,,,,,,,,,1872. Pärnu ja Tori,,,1365,,,,
264,1873,1873-r,6,,2/4,Audru,,,,,,,,,1873. Audru,,,1365,,,,
,1874,1874-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1874. Pärnu ja Tori,,,1365,,,,
,1875,1875-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1875. Pärnu ja Tori,,,1365,,,,
,1876,1876-r,3,,2/4,,,,,,,,,,1876. ,,,1365,,,,
,1877,1877-r,6,,2/4,Audru,,,,,,,,,1877. Audru,,,1365,,,,
,1878,1878-r,6,,2/4,Pärnu ja Tori,,,,,,,,,1878. Pärnu ja Tori,,,1365,,,,
265,1879,1879-r,6,,2/4,Halliste,,,,,,,,,1879. Halliste,,,1365,,,,
,1880,1880-r,6,,2/4,Suure-Jaani,,,,,,,,,1880. Suure-Jaani,,,1365,,,,
,1881,1881-r,6,,2/4,Mihkli,,,,,,,,,1881. Mihkli,,,1365,,,,
,1882,1882-r,6,,2/4,Saarde,,,,,,,,,1882. Saarde,,,1365,,,,
,1883,1883-r,6,,2/4,Karula,1877,,,,,,,,"1883. Karula, 1877",,,1365,,,,
266,1884,1884-r,6,,2/4,Paistu,,,,,,,,,1884. Paistu,,,1365,,,,
,1885,1885-r,6,,2/4,Paistu,,,,,,,,,1885. Paistu,,,1365,,,,
,1886,1886-r,6,,2/4,Paistu,,,,,,,,,1886. Paistu,,,1365,,,,
,1887,1887-r,6,,2/4,Paistu,,,,,,,,,1887. Paistu,,,1365,,,,
267,1888,1888-r,6,,2/4,Paistu,,,,,,,,,1888. Paistu,,,1365,,,,
,1889,1889-r,6,,2/4,Räpina,1877,,,,,,,,"1889. Räpina, 1877",,,1365,,,,
,1890,1890-r,6,,2/4,Sangaste,1877,,,,,,,,"1890. Sangaste, 1877",,,1365,,,,
,1891,1891-r,3,,2/4,Puhja,,,,,,,,,1891. Puhja,,,1365,,,,
,1892,1892-r,6,,2/4,Karksi,,,,,,,,,1892. Karksi,,,1365,,,,
268,1893,1893-r,3,,2/4,Rõngu,,,,,,,,,1893. Rõngu,,,1365,,,,
,1894,1894-r,6,,2/4,Halliste,,,,,,,,,1894. Halliste,,,1365,,,,
,1895,1895-r,6,,2/4,,,,,,,,,,1895. ,,,1365,,,,
,1896,1896-r,6,,2/4,Karula,1888,,,,,,,,"1896. Karula, 1888",,,1365,,,,
,1897,1897-r,6,,2/4,Krantsova,1877,,,,,,,,"1897. Krantsova, 1877",,,1365,,,,
269,1898,1898-r,6,,2/4,Otepää,,,,,,,,,1898. Otepää,,,1365,,,,
,1899,1899-r,6,,2/4,Otepää,,,,,,,,,1899. Otepää,,,1365,,,,
,1900,1900-r,6,,2/4,Pilistvere,,,,,,,,,1900. Pilistvere,,,1365,,,,
,1901,1901-r,6,,2/4,Puugnitsa küla,1877,,,,,,,,"1901. Puugnitsa küla, 1877",,,1365,,,,
,1902,1902-r,6,,2/4,Türi,,,,,,,,,1902. Türi,,,1365,,,,
270,1903,1903-r,6,,2/4,Karksi,,,,,,,,,1903. Karksi,,,1365,,,,
,1904,1904-r,6,,2/4,Paistu,1877,,,,,,,,"1904. Paistu, 1877",,,1365,,,,
,1905,1905-r,6,,2/4,Sangaste,,,,,,,,,1905. Sangaste,,,1365,,,,
,1906,1906-r,6,,2/4,Kanepi,1877,,,,,,,,"1906. Kanepi, 1877",,,1365,,,,
,1907,1907-r,6,,2/4,Otepää,,,,,,,,,1907. Otepää,,,1365,,,,
,1908,1908-r,6,,2/4,Karksi,,,,,,,,,1908. Karksi,,,1365,,,,
271,1909,1909-r,6,,2/4,Paistu,,,,,,,,,1909. Paistu,,,1365,,,,
,1910,1910-r,12,,2/4,Räpina,,,,,,,,,1910. Räpina,,,1365,,,,
,1911,1911-r,6,,2/4,Pilistvere,,,,,,,,,1911. Pilistvere,,,1365,,,,
,1912,1912-r,6,,2/4,Puhja,,,,,,,,,1912. Puhja,,,1365,,,,
272,1913,1913-r,3,,2/4,Järvamaa,,,,,,,,,1913. Järvamaa,,,1365,,,,
,1914,1914-r,6,,2/4,Kolga-Jaani,,,,,,,,,1914. Kolga-Jaani,,,1365,,,,
,1915,1915-r,6,,2/4,Puhja,,,,,,,,,1915. Puhja,,,1365,,,,
,1916,1916-r,6,,2/4,,,,,,,,,,1916. ,,,1365,,,,
,1917,1917-r,3,,2/4,Tarvastu,,,,,,,,,1917. Tarvastu,,,1365,,,,
273,1918,1918-r,6,,2/4,Rõngu,,,,,,,,,1918. Rõngu,,,1365,,,,
,1919,1919-r,3,,2/4,Vändra,,,,,,,,,1919. Vändra,,,1365,,,,
,1920,1920-r,3,,2/4,Järvamaa,,,,,,,,,1920. Järvamaa,,,1365,,,,
,1921,1921-r,7,,2/4,Setumaa,,,,,,,,,1921. Setumaa,,,1365,,,,
,1922,1922-r,3,,2/4,Pärnu ja Tori,,,,,,,,,1922. Pärnu ja Tori,,,1365,,,,
,1923,1923-r,6,,2/4,Setumaa,,,,,,,,,1923. Setumaa,,,1365,,,,
274,1924,1924-r,6,,2/4,Sangaste,1877,,,,,,,,"1924. Sangaste, 1877",,,1365,,,,
,1925,1925-r,6,,2/4,Saarde,,,,,,,,,1925. Saarde,,,1365,,,,
,1926,1926-r,7,,2/4,Helme,,,,,,,,,1926. Helme,,,1365,,,,
,1927,1927-r,6,,2/4,"Setumaa, Meekseküla",1877,,,,,,,,"1927. Setumaa, Meekseküla, 1877",,,1365,,,,
275,1928,1928-r,3,,2/4,Rõngu,,,,,,,,,1928. Rõngu,,,1365,,,,
,1929,1929-r,6,,2/4,Pärnu ja Häädemeeste,,,,,,,,,1929. Pärnu ja Häädemeeste,,,1365,,,,
,1930,1930-r,6,,2/4,Paistu,,,,,,,,,1930. Paistu,,,1365,,,,
,1931,1931-r,6,,2/4,Karula,,,,,,,,,1931. Karula,,,1365,,,,
,1932,1932-r,6,,2/4,Pöides,,,Fr.Paulmeister,49,,,,Fr.Paulmeister (49),1932. Pöides,,,1365,,,,
276,1933,1933-r,6,,2/4,Pärnu-Jaagupi,,,,,,,,,1933. Pärnu-Jaagupi,,,1365,,,,
,1934,1934-r,6,,2/4,Karksi,,,,,,,,,1934. Karksi,,,1365,,,,
,1935,1935-r,6,,2/4,Võru,,,,,,,,,1935. Võru,,,1365,,,,
,1936,1936-r,6,,2/4,,,,,,,,,,1936. ,,,1365,,,,
,1937,1937-r,7,,2/4,Laiuse,,,,,,,,,1937. Laiuse,,,1365,,,,
,1938,1938-r,6,,2/4,,,,,,,,,,1938. ,,,1365,,,,
277,1939,1939-r,5,,2/4 2/4 2/4 3/4 3/4,Rõuge,1888,,,,,,,,"1939. Rõuge, 1888",,,1365,,,,
,1940,1940-r,6,,2/4,,,,,,,,,,1940. ,,,1365,,,,
,1941,1941-r,3,,6/8,Järva-Jaani,,,,,,,,,1941. Järva-Jaani,,,1365,,,,
,1942,1942-r,6,,2/4,Paistu,,,,,,,,,1942. Paistu,,,1365,,,,
,1943,1943-r,6,,2/4 2/4 3/4 2/4 2/4 3/4,,,,,,,,,,1943. ,,,1365,,,,
,1944,1944-r,6,,2/4 3/4 2/4 2/4 3/4 2/4,Vastseliina,1890,,,,,,,,"1944. Vastseliina, 1890",,,1365,,,,
