lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,58,0058-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,181,,"Pei-u--ka-ne, poi-si--ka-ne.",,Viljak-Vilberg (181),58. Kuusalu,Meekseküla,S.Lindpere,10,3/8 5/8 2/4 2/4,,,"Peiukane, poisikane."
,59,0059-r,3,,2/4,Kuusalu,,,Viljak-Vilberg,115,,Sii-ap tul-lep vue-ra-ai-da. vue-ra-ai-da.,,Viljak-Vilberg (115),59. Kuusalu,Mihkli,Saar,13,3+2+2/8,,,Siiap tullep vueraaida. vueraaida.
,60,0060-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,174,,"Pei-u-ka-ne, poi-si-ka-ne.",,Viljak-Vilberg (174),60. Kuusalu,Narva,Saar-Siimer,27,3+2+3/8,,,"Peiukane, poisikane."
,61,0061-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,152,,Kas õl-le-le o-hu-sed ul-lud.,,Viljak-Vilberg (152),61. Kuusalu,Nigula,Sibul,2,4/8,,,Kas õllele ohused ullud.
,62,0062-r,2,,6/8,Haljala,,,Viljak-Mark,25,,Läh-me _ _ kii-get _ _ kat-su-mai-e.,,Viljak-Mark (25),62. Haljala,Nissi,Siiak-Einer,3,4/8 5/8 4/8 5/8 4/8 4/8 4/8 4/8,,,Lähme kiiget katsumaie.
,63,0063-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,125,,Kui ta-had _ _ ta-lu-je _ _ tul-la.,,Viljak-Vilberg (125),63. Kuusalu,Nõo,Siimer,32,5/4,,,Kui tahad taluje tulla.
10,64,0064-r,4,,2/4,Ambla,,,J.Välbe,69,,Las-ke sis-se mar-di-san-did: Mar-did tul-nud kau-ge-el-ta.,,J.Välbe (69),64. Ambla,Otepää,Siimer-Rosenstrauch,29,5/4 2/4 2/4 2/4 2/4,,,Laske sisse mardisandid: Mardid tulnud kaugeelta.
,65,0065-r,2,,2/4,Järva-Madise,,,P.Penna,34/27,,"Nõ-ret, nõ-ret, nõe-la-ke-ne.",,P.Penna (34/27),65. Järva-Madise,Paide,Simm-Reisik,17,5/4 5/4 2/4 2/4 2/4 2/4,,,"Nõret, nõret, nõelakene."
,66,0066-r,4,,2/4,Tartu,,,P.Kurg,8,,"Ma-ri-ke-ne, õe---ke-ne, Ma-ri--ke--ne, õe---ke--ne.",,P.Kurg (8),66. Tartu,Paistu,Sõster-Rosenstrauch,6,5/4 5/4 2/4 2/4 2/4 2/4 2/4,,,"Marikene, õekene, Marikene, õekene."
,67,0067-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,116,,"Lin-du üüs _ _ mi-nu laa-ne _ _ pääl-ta, _ _ kor-pi kor-vi-je ra-jal-ta.",,Viljak-Vilberg (116),67. Kuusalu,Palamuse,Süda-Liiv,5,5/4 5/4 2/4 2/4 2/4 2/4 2/4 3/4,,,"Lindu üüs minu laane päälta, korpi korvije rajalta."
