ID,takte,eeltakt,mõõt,maakond,kogujad,tekst
0055-r,8,,4/8 5/8 4/8 5/8 4/8 5/8 4/8 5/8,55. Nissi,"Joh. Muda, Jul. Muda (25)","Va-res o-li va-ga lin-nu-ke-ne, len-das lin-nas uu-lit-sal-le, sealt te-ma len-das ka-tuk-sel-le, kõrt-si-mam-ma ma-tuk-sel-le."
0056-r,2,,4/8,56. Kuusalu,Viljak-Vilberg (109),Kui mi-na kuu-len rää-gi--i-tä-vä.
0057-r,3,,2/4,57. Kuusalu,Viljak-Vilberg (91),"Las pü-si-me, kan-na--ta-me, kan-na--ta-me."
0058-r,2,,2/4,58. Kuusalu,Viljak-Vilberg (181),"Pei-u--ka-ne, poi-si--ka-ne."
0059-r,3,,2/4,59. Kuusalu,Viljak-Vilberg (115),Sii-ap tul-lep vue-ra-ai-da. vue-ra-ai-da.
0060-r,2,,2/4,60. Kuusalu,Viljak-Vilberg (174),"Pei-u-ka-ne, poi-si-ka-ne."
0061-r,2,,2/4,61. Kuusalu,Viljak-Vilberg (152),Kas õl-le-le o-hu-sed ul-lud.
0062-r,2,,6/8,62. Haljala,Viljak-Mark (25),Läh-me _ _ kii-get _ _ kat-su-mai-e.
0063-r,2,,2/4,63. Kuusalu,Viljak-Vilberg (125),Kui ta had _ _ ta-lu-je _ _ tul-la.
0064-r,4,,2/4,64. Ambla,J.Välbe (69),Las-ke sis-se mar-di-san-did: Mar-did tul-nud kau-ge-el-ta.
0065-r,2,,2/4,65. Järva-Madise,P.Penna (34/27),"Nõ-ret, nõ-ret, nõe-la-ke-ne."
0066-r,4,,2/4,66. Tartu,P.Kurg (8),"Ma-ri-ke-ne, õe---ke-ne, Ma-ri--ke--ne, õe---ke--ne."
0067-r,4,,2/4,67. Kuusalu,Viljak-Vilberg (116),"Lin-du üüs _ _ mi-nu laa-ne _ _ pääl-ta, _ _ kor-pi kor-vi-je ra-jal-ta."
0068-r,4,,2/4,68. Kadrina,K.Viljak (8),"Lõ-pe, lõ-pe põl-lu-ke-ne, vä-he-ne ju, nei-u väl-ja."
0069-r,4,,2/4,69. Koeru,Välbe-Martin-Rosenstrauch (28),"Ei tu-le mi-ni-ja si-nu-le, po-ja naist ei si-nu-le."
0070-r,4,,2/4,70. Väike-Maarja,P.Penna (184),"Oh mi-nu hel-la ven-na-ke-ne, kui läed nais-ta võt-ta-mai-e."
0071-r,2,,6/8,71. Kuusalu,Viljak-Vilberg (20),"Löö-me _ _ trop-pi, _ _ tu-vi-ke-sed."
0072-r,4,,2/4,72. Sangaste,A.Kiiss (103),"Ar-mas äm-ma, an-na pa-da mei-le kiis-su kee--ta."
0073-r,4,,2/4,73. Väike-Maarja,P.Penna (177),"Mei-e kak-si vaes-ta las-ta, paar kui par-di poe-ga-si-da."
0074-r,2,,6/8,74. Kadrina,K.Viljak (24),"Sõu-a, _ _ kii-ke, _ _ jõu-a, kii-ke."
